03/04/2025   01:03:40  AM|MISC SERVICE CALL|12XX  RICHARD LN|KALIHI|District 5
03/04/2025   01:01:30  AM|SUSP VEH|6XX  AUAHI ST|KAKAAKO|District 1
03/04/2025   00:56:49  AM|NUISANCE COMPLAINT|XX  PIIKOI ST|HONOLULU|District 1
03/03/2025   23:53:49  PM|ROBBERY|XX  S KAINALU DR|KAILUA|District 4
03/03/2025   23:53:43  PM|FOLLOW UP|9111XX  AAWA DR|EWA BEACH|District 8
03/03/2025   23:35:41  PM|MVC|N VINEYARD BLVD / NUUANU AVE|DOWNTOWN|District 1
03/03/2025   23:33:45  PM|FAMILY OFF/NEG|9107XX  MAKULE RD|EWA BEACH|District 8
03/03/2025   21:52:19  PM|TRESPASS WARN|5XX  FARRINGTON HWY|KAPOLEI|District 8
03/03/2025   21:07:03  PM|TRAFFIC ARREST/CITATION|XX  H1W FWY|KUNIA|District 8
