06/26/2024   04:59:06  AM|HAZARDOUS DRIVER|1XX  H1E FWY|AIEA|District 3
06/26/2024   04:57:55  AM|MISC SERVICE CALL|12XX  ALA PILI LOOP|SALT LAKE|District 5
06/26/2024   04:49:19  AM|UEMV|2XX  PANIO ST|AINA HAINA|District 7
06/26/2024   04:37:08  AM|MISC SERVICE CALL|8600XX  HOAHA ST|WAIANAE|District 8
06/26/2024   04:06:34  AM|AUTO THEFT RECOVERY|XX  S KUAKINI ST|NUUANU|District 5
06/26/2024   02:58:09  AM|UNATTENDED DEATH|19XX  LANAKILA AVE|KALIHI|District 5
06/25/2024   23:57:31  PM|DUI|S KING ST / PENSACOLA ST|HONOLULU|District 1
06/25/2024   23:48:37  PM|DUI|S KING ST / VICTORIA ST|HONOLULU|District 1
06/25/2024   23:28:21  PM|DUI|S BERETANIA ST / KEEAUMOKU ST|HONOLULU|District 1
06/25/2024   22:38:06  PM|DISORDERLY CONDUCT|4XX  KUWILI ST|KALIHI|District 5
