02/05/2023   04:26:41  AM|ALARM CALL|4703XX  HUI IWA ST|KANEOHE|District 4
02/05/2023   04:21:24  AM|TRESPASS|24XX  KALAKAUA AVE|WAIKIKI|District 6
02/05/2023   04:11:41  AM|VEH TOWED|37XX  DIAMOND HEAD RD|KAHALA|District 7
02/05/2023   04:06:49  AM|VEH TOWED|PAKI AVE / NOELA ST|WAIKIKI|District 6
02/05/2023   04:02:51  AM|VEH TOWED|5XX  FARRINGTON HWY|KAPOLEI|District 8
02/05/2023   03:59:34  AM|MISC PUB|4XX  NIU ST|WAIKIKI|District 6
02/05/2023   01:54:12  AM|DISORDERLY CONDUCT|13XX  DILLINGHAM BLVD|KALIHI|District 5
02/05/2023   00:35:05  AM|HARASSMENT|NORTH RD / IROQUOIS DR|EWA BEACH|District 8
02/04/2023   23:08:07  PM|TRESPASS WARN|9121XX  FORT WEAVER RD|EWA BEACH|District 8
02/04/2023   22:47:16  PM|VEH TOWED|8509XX  BAYVIEW ST|WAIANAE|District 8
