01/27/2024   03:01:10  AM|PROPERTY DAMAGE|KAM HWY / KULEANA RD|PEARL CITY|District 3
01/27/2024   02:45:42  AM|MVC VEH TOWED|H2N WAHIAWA OFF|MILILANI|District 2
01/27/2024   02:12:57  AM|AUTO THEFT RECOVERY|9XX  KEEAUMOKU ST|HONOLULU|District 1
01/27/2024   01:46:54  AM|DUI|ALA AOLANI / MFW EXIT 2|MOANALUA V|District 5
01/27/2024   01:43:23  AM|WARRANT ARREST|KAHEKA ST / MAKALOA ST|HONOLULU|District 1
01/27/2024   01:31:04  AM|MISC CRIME OFFENSE|14XX  LINAPUNI ST|KALIHI|District 5
01/27/2024   01:04:30  AM|DUI|S SCHOOL ST / LEILEHUA LN|PUNCHBOWL|District 1
01/27/2024   00:13:07  AM|VEH TOWED|4601XX  MALINA PL|KANEOHE|District 4
01/26/2024   22:32:00  PM|FOLLOW UP|9503XX  HOKUKEA CT|MILILANI|District 2
