11/30/2024   07:24:57  AM|NUISANCE COMPLAINT|14XX  DILLINGHAM BLVD|KALIHI|District 5
11/30/2024   07:21:57  AM|TRAFFIC CONTROL DEVICE|8XX  KAPAHULU AVE|KAPAHULU|District 7
11/30/2024   07:20:29  AM|AUTO THEFT|8502XX  FARRINGTON HWY|WAIANAE|District 8
11/30/2024   06:59:31  AM|ROBBERY|8508XX  FARRINGTON HWY|WAIANAE|District 8
11/30/2024   06:40:36  AM|VEH TOWED|8XX  HAUSTEN ST|MCCULLY|District 7
11/30/2024   06:28:10  AM|THREATENING|19XX  ALA WAI BLVD|WAIKIKI|District 6
11/30/2024   05:31:21  AM|FIRE CALL|3XX  KEAHOLE ST|HAWAII KAI|District 7
11/30/2024   01:56:09  AM|ARSON|8501XX  ALA WALUA ST|WAIANAE|District 8
11/30/2024   01:26:40  AM|BURGLARY|9109XX  IWIKUAMOO ST|EWA BEACH|District 8
