06/19/2023   21:27:30  PM|MVC|2XX  MANANAI PL|AIEA|District 3
06/19/2023   21:25:34  PM|NUISANCE COMPLAINT|46XX  KILAUEA AVE|KAIMUKI|District 7
06/19/2023   21:21:59  PM|ANIMAL NOISE|3XX  ULUPAINA ST|KAILUA|District 4
06/19/2023   21:14:07  PM|RUNAWAY|9211XX  ALIINUI DR|KAPOLEI|District 8
06/19/2023   21:02:07  PM|SIMPLE ASSAULT|15XX  KAPIOLANI BLVD|HONOLULU|District 1
06/19/2023   20:47:28  PM|NUISANCE COMPLAINT|9109XX  NORTH RD|EWA BEACH|District 8
06/19/2023   20:30:28  PM|MISC PUB|62XX  KAUHOLA PL|HAWAII KAI|District 7
06/19/2023   20:20:47  PM|MISC CRIME OFFENSE|9117XX  TENNEY ST|EWA BEACH|District 8
06/19/2023   20:08:31  PM|THREATENING|9110XX  YORKTOWN ST|KALAELOA|District 8
06/19/2023   19:09:29  PM|MISC SERVICE CALL|11XX  SMITH ST|DOWNTOWN|District 1
