05/27/2023   21:09:55  PM|MISC PUB|32XX  KALIHI ST|KALIHI|District 5
05/27/2023   21:07:35  PM|NUISANCE COMPLAINT|8504XX  FARRINGTON HWY|WAIANAE|District 8
05/27/2023   20:50:38  PM|PARKING VIOLATION|9111XX  SISAL ST|EWA BEACH|District 8
05/27/2023   20:45:57  PM|ICF/SCF|19XX  ALA MOANA BLVD|WAIKIKI|District 6
05/27/2023   20:34:24  PM|SIMPLE ASSAULT|8702XX  KULAAUPUNI ST|MAILI|District 8
05/27/2023   20:19:02  PM|FOLLOW UP|CORAL SEA RD / SAN JUACINTO ST|KALAELOA|District 8
05/27/2023   20:02:02  PM|ICF/SCF|3XX  OOMANO PL|HAWAII KAI|District 7
05/27/2023   19:48:08  PM|FAMILY OFF/NEG|4XX  MANANAI PL|AIEA|District 3
05/27/2023   16:45:03  PM|AGGRAVATED ASSAULT|8500XX  WAIANAE VALLEY RD|WAIANAE|District 8
05/27/2023   16:16:34  PM|TRESPASS WARN|23XX  KUHIO AVE|WAIKIKI|District 6
