11/11/2023   06:57:03  AM|THEFT|49XX  KAPOLEI PKWY|KAPOLEI|District 8
11/11/2023   06:53:45  AM|MISC SERVICE CALL|UALALEHU ST / AHIKU ST|MILILANI|District 2
11/11/2023   06:53:36  AM|PARKING VIOLATION|5304XX  KAM HWY|PUNALUU|District 4
11/11/2023   06:47:12  AM|DROPPED CALL|9901XX  KALALOA ST|AIEA|District 3
11/11/2023   06:40:54  AM|VEH TOWED|CALIFORNIA AVE / MAALO ST|WAHIAWA|District 2
11/11/2023   06:37:36  AM|BURGLARY|43XX  LAWEHANA ST|AIEA|District 3
11/11/2023   06:34:42  AM|VEH TOWED|10XX  KILANI AVE|WAHIAWA|District 2
11/11/2023   06:29:05  AM|VEH TOWED|3XX  CALIFORNIA AVE|WAHIAWA|District 2
11/11/2023   06:10:19  AM|ALARM CALL|5604XX  KAM HWY|KAHUKU|District 4
