06/30/2023   05:43:29  AM|HAZARDOUS DRIVER|N KALAHEO AVE / MOKAPU BLVD|KAILUA|District 4
06/30/2023   05:42:17  AM|TRESPASS|4XX  N JUDD ST|NUUANU|District 5
06/30/2023   05:38:35  AM|WARRANT ARREST|KANOA ST / BANYAN ST|KALIHI|District 5
06/30/2023   05:36:09  AM|TRAFFIC STOP|KEALOHILANI AVE / KALAKAUA AVE|WAIKIKI|District 6
06/30/2023   05:16:13  AM|MISC SERVICE CALL|28XX  E MANOA RD|MANOA|District 7
06/30/2023   05:14:20  AM|THEFT|5XX  KAAAHI ST|KALIHI|District 5
06/30/2023   05:13:05  AM|PARKING VIOLATION|ALA ILIMA / ALA LAULANI|SALT LAKE|District 5
06/29/2023   23:59:15  PM|FAMILY OFF/NEG|8406XX  KEPUE ST|MAKAHA|District 8
06/29/2023   20:33:46  PM|MISC CRIME OFFENSE|8501XX  MCARTHUR ST|WAIANAE|District 8
