06/13/2023   00:36:54  AM|MISC SERVICE CALL|14XX  PENSACOLA ST|MAKIKI|District 1
06/13/2023   00:27:36  AM|SUSP PERSON|24XX  S BERETANIA ST|MCCULLY|District 7
06/13/2023   00:11:37  AM|FOLLOW UP|9110XX  KAIPALAOA ST|EWA BEACH|District 8
06/12/2023   23:51:03  PM|VEH TOWED|LUALUALEI NAVAL RD / FARRINGTON HWY|NANAKULI|District 8
06/12/2023   23:32:18  PM|TRESPASS WARN|2XX  N KAM HWY|WAHIAWA|District 2
06/12/2023   22:38:36  PM|FAMILY OFF/NEG|8513XX  KUMAIPO ST|WAIANAE|District 8
06/12/2023   22:35:08  PM|VEH TOWED|1XX  H1W FWY|PEARL CITY|District 3
06/12/2023   22:22:48  PM|MVC|LUALUALEI NAVAL RD / FARRINGTON HWY|NANAKULI|District 8
06/12/2023   22:14:29  PM|TRAFFIC ARREST/CITATION|H3W HONOLULU OFF|AIEA|District 3
06/12/2023   21:15:45  PM|DUI|IKULANI ST / HANAKAHI ST|EWA BEACH|District 8
