08/24/2024   03:57:14  AM|ARGUMENT|1XX  NOKE ST|KAILUA|District 4
08/24/2024   03:46:20  AM|AUTO THEFT RECOVERY|5XX  S KING ST|HONOLULU|District 1
08/24/2024   03:37:14  AM|MISC SERVICE CALL|9402XX  WAIPAHU ST|WAIPAHU|District 3
08/24/2024   03:28:18  AM|MVC|LEWERS ST / LAUULA ST|WAIKIKI|District 6
08/24/2024   03:05:12  AM|FAMILY OFF/NEG|8406XX  KEPUE ST|MAKAHA|District 8
08/24/2024   02:15:44  AM|DISORDERLY CONDUCT|4XX  NAHUA ST|WAIKIKI|District 6
08/24/2024   01:06:41  AM|MVC VEH TOWED|19XX  KALAKAUA AVE|WAIKIKI|District 6
08/24/2024   00:30:28  AM|DISORDERLY CONDUCT|23XX  KALAKAUA AVE|WAIKIKI|District 6
08/23/2024   22:57:06  PM|FAMILY OFF/NEG|8906XX  FARRINGTON HWY|NANAKULI|District 8
