03/09/2025   03:57:58  AM|TRAFFIC STOP|25XX  KUHIO AVE|WAIKIKI|District 6
03/09/2025   03:52:24  AM|ALARM CALL|8909XX  NANAKULI AVE|NANAKULI|District 8
03/09/2025   03:50:39  AM|MISC SERVICE CALL|4XX  ATKINSON DR|ALA MOANA|District 1
03/09/2025   03:14:43  AM|FAMILY OFF/NEG|9907XX  HALAWA HTS RD|AIEA|District 3
03/09/2025   02:43:12  AM|SUSP CIRCUMSTANCE|8605XX  PUUHULU RD|WAIANAE|District 8
03/09/2025   02:03:11  AM|DISORDERLY CONDUCT|9410XX  WAIPIO UKA ST|WAIPIO|District 3
03/09/2025   01:06:22  AM|VEH TOWED|9801XX  KAONOHI ST|AIEA|District 3
03/08/2025   23:28:41  PM|WARRANT ARREST|5505XX  KAM HWY|LAIE|District 4
03/08/2025   23:25:58  PM|TRESPASS|14XX  ALA MOANA BLVD|ALA MOANA|District 1
03/08/2025   19:37:06  PM|ROBBERY|9802XX  PALI MOMI ST|AIEA|District 3
