07/28/2023   00:41:57  AM|NUISANCE COMPLAINT|24XX  KUHIO AVE|WAIKIKI|District 6
07/28/2023   00:41:41  AM|VEH TOWED|CORAL SEA RD / BARBERS POINT KINGS|KALAELOA|District 8
07/28/2023   00:13:56  AM|AUTO THEFT RECOVERY|22XX  KAM HWY|KALIHI|District 5
07/28/2023   00:02:36  AM|FIRE CALL|11XX  ALA MOANA BLVD|KAKAAKO|District 1
07/27/2023   23:52:31  PM|MISC SERVICE CALL|8410XX  NOHOLIO RD|MAKAHA|District 8
07/27/2023   23:45:17  PM|MISC PUB|KAPOLEI PKWY / RENTON RD|EWA BEACH|District 8
07/27/2023   23:34:14  PM|MISC PUB|KUALAKAI PKWY / FARRINGTON HWY|KAPOLEI|District 8
07/27/2023   23:17:43  PM|MISC PUB|5905XX  ALAPIO RD|SUNSET|District 2
07/27/2023   22:14:01  PM|DISORDERLY CONDUCT|9XX  WAIAKAMILO RD|KALIHI|District 5
