03/19/2023   04:41:24  AM|MEDICAL ASSIST|10XX  WONG LN|KALIHI|District 5
03/19/2023   04:40:46  AM|ROBBERY|4705XX  KAM HWY|KANEOHE|District 4
03/19/2023   04:32:53  AM|UEMV|19XX  10TH AVE|KAIMUKI|District 7
03/19/2023   04:29:58  AM|BURGLARY|22XX  DATE ST|MCCULLY|District 7
03/19/2023   04:14:51  AM|FOLLOW UP|18XX  BERTRAM ST|KAIMUKI|District 7
03/19/2023   04:05:56  AM|THREATENING|24XX  S KING ST|MCCULLY|District 7
03/19/2023   03:27:49  AM|ROBBERY|MAUNAKEA ST / N HOTEL ST|DOWNTOWN|District 1
03/19/2023   01:05:26  AM|UEMV|8XX  AVE / PUKELE AVE|KAIMUKI|District 7
03/19/2023   00:12:34  AM|FAMILY OFF/NEG|2XX  LITTLE DR|WAHIAWA|District 2
