06/08/2023   04:13:14  AM|SUSP CIRCUMSTANCE|38XX  MARIPOSA DR|KAIMUKI|District 7
06/08/2023   03:59:37  AM|UNATTENDED DEATH|6XX  IWILEI RD|KALIHI|District 5
06/08/2023   03:53:00  AM|DUI|ALA WAI BLVD / KAIOLU ST|WAIKIKI|District 6
06/08/2023   03:27:47  AM|FOUND PROPERTY|24XX  KALAKAUA AVE|WAIKIKI|District 6
06/08/2023   03:23:36  AM|UEMV|7XX  KEEAUMOKU ST|HONOLULU|District 1
06/08/2023   02:52:11  AM|DUI|MFW FT SHAFTER OFF|MOANALUA V|District 5
06/08/2023   02:21:27  AM|DUI|S BERETANIA ST / LAUHALA ST|HONOLULU|District 1
06/08/2023   01:57:47  AM|WARRANT ARREST|1XX  KAIULANI AVE|WAIKIKI|District 6
06/08/2023   01:16:15  AM|THEFT|17XX  NUUANU AVE|NUUANU|District 5
06/07/2023   22:03:32  PM|HARASSMENT|3XX  KALAIMOKU ST|WAIKIKI|District 6
