09/20/2023   00:13:52  AM|NUISANCE COMPLAINT|5XX  N KUKUI ST|KALIHI|District 5
09/20/2023   00:10:01  AM|NOISE COMPLAINT|4XX  HOBRON LN|WAIKIKI|District 6
09/20/2023   00:05:11  AM|MISC PUB|OHUA AVE / KUHIO AVE|WAIKIKI|District 6
09/19/2023   23:16:19  PM|WARRANT ARREST|LIHOLIHO ST / WILDER AVE|MAKIKI|District 1
09/19/2023   23:03:10  PM|FAMILY OFF/NEG|21XX  AHE ST|KAIMUKI|District 7
09/19/2023   22:33:07  PM|TRESPASS WARN|22XX  KALAKAUA AVE|WAIKIKI|District 6
09/19/2023   22:29:25  PM|UNATTENDED DEATH|8609XX  PAHANO LOOP|WAIANAE|District 8
09/19/2023   21:45:34  PM|FOLLOW UP|14XX  ALA MOANA BLVD|ALA MOANA|District 1
09/19/2023   21:19:19  PM|VEH TOWED|KUALAKAI PKWY / KEAHUMOA PKWY|KAPOLEI|District 8
