07/08/2024   05:12:09  AM|FIRE CALL|15XX  HUGHES RD|BELLOWS|District 4
07/08/2024   05:12:03  AM|ANIMAL NOISE|8702XX  HELEUMA ST|MAILI|District 8
07/08/2024   05:06:43  AM|THREATENING|PAU ST / ALA WAI BLVD|WAIKIKI|District 6
07/08/2024   05:06:15  AM|THEFT|8509XX  FARRINGTON HWY|WAIANAE|District 8
07/08/2024   04:58:11  AM|MISC PUB|23XX  KANEALII AVE|PUNCHBOWL|District 1
07/08/2024   04:45:48  AM|STALLED/HAZARD VEH|H3W W MM4|AIEA|District 3
07/08/2024   03:57:03  AM|UNATTENDED DEATH|13XX  KAPIOLANI BLVD|HONOLULU|District 1
07/08/2024   03:40:03  AM|THEFT|9116XX  FORT WEAVER RD|EWA BEACH|District 8
07/08/2024   02:24:31  AM|VEH TOWED|MCCULLY ST / KALAKAUA AVE|WAIKIKI|District 6
