04/07/2024   20:38:25  PM|HARASSMENT|5104XX  KAM HWY|KAAAWA|District 4
04/07/2024   20:38:24  PM|PARKING VIOLATION|9110XX  KAI OIO ST|EWA BEACH|District 8
04/07/2024   20:35:32  PM|RUNAWAY CXL|8409XX  HANALEI ST|MAKAHA|District 8
04/07/2024   20:34:55  PM|UEMV|8603XX  ALAMIHI ST|WAIANAE|District 8
04/07/2024   20:27:48  PM|MISC SERVICE CALL|9902XX  KAM HWY|AIEA|District 3
04/07/2024   20:25:38  PM|WEAPONS|42XX  WAIALAE AVE|KAIMUKI|District 7
04/07/2024   20:15:41  PM|DEFIB CALL|8712XX  FARRINGTON HWY|NANAKULI|District 8
04/07/2024   20:05:56  PM|MVC VEH TOWED|9403XX  PUPUOLE ST|WAIPAHU|District 3
04/07/2024   19:45:03  PM|UEMV|5901XX  KE NUI RD|SUNSET|District 2
04/07/2024   18:35:55  PM|AUTO THEFT RECOVERY|FORT BARRETTE RD / KAPOLEI PKWY|KAPOLEI|District 8
