08/31/2024   03:57:02  AM|MVC|13XX  KAPIOLANI BLVD|ALA MOANA|District 1
08/31/2024   03:54:41  AM|NUISANCE COMPLAINT|9502XX  KIPAPA DR|MILILANI|District 2
08/31/2024   03:47:33  AM|PARKING VIOLATION|9110XX  KAI KUKUMA ST|EWA BEACH|District 8
08/31/2024   03:44:32  AM|SUSP CIRCUMSTANCE|6603XX  AUKAI LN|HALEIWA|District 2
08/31/2024   03:44:25  AM|NUISANCE COMPLAINT|X SAND ISLAND ACC RD|KALIHI|District 5
08/31/2024   03:27:25  AM|DEFIB CALL|8401XX  KIAPA PL|MAKAHA|District 8
08/31/2024   03:09:04  AM|ALARM CALL|71XX  KALANIANAOLE HWY|HAWAII KAI|District 7
08/31/2024   01:27:13  AM|FAMILY OFF/NEG|18XX  KALIHI ST|KALIHI|District 5
08/30/2024   23:20:31  PM|MVC VEH TOWED|HIKUKAHI ST / FARRINGTON HWY|EWA BEACH|District 8
08/30/2024   22:55:38  PM|AGGRAVATED ASSAULT|9118XX  PUHIKO ST|EWA BEACH|District 8
