02/25/2024   05:57:49  AM|ARSON|28XX  KALAKAUA AVE|WAIKIKI|District 6
02/25/2024   05:54:50  AM|STALLED/HAZARD VEH|4702XX  KAHEKILI HWY|KANEOHE|District 4
02/25/2024   05:50:13  AM|MVC VEH TOWED|FARRINGTON HWY / AUYONG HMSTD RD|NANAKULI|District 8
02/25/2024   05:48:42  AM|MVC|29XX  N NIMITZ HWY|AIRPORT|District 5
02/25/2024   05:45:15  AM|DUI|H2N EXIT 5A / MEHEULA PKWY|MILILANI|District 2
02/25/2024   05:15:26  AM|THEFT|41XX  FINCHER ST|HALSEY T|District 5
02/25/2024   04:48:24  AM|PROPERTY DAMAGE|2XX  HAMAKUA DR|KAILUA|District 4
02/25/2024   03:59:14  AM|SIMPLE ASSAULT|8506XX  FARRINGTON HWY|WAIANAE|District 8
02/25/2024   03:08:58  AM|WARRANT ARREST|8601XX  FARRINGTON HWY|WAIANAE|District 8
02/25/2024   01:50:01  AM|MVC|PUPUKEA RD / ALAPIO RD|SUNSET|District 2
