06/02/2023   21:11:30  PM|AUTO THEFT|27XX  KALAKAUA AVE|WAIKIKI|District 6
06/02/2023   21:09:35  PM|MISC SERVICE CALL|9210XX  PALAILAI PL|MAKAKILO|District 8
06/02/2023   21:08:05  PM|MISC SERVICE CALL|13XX  KAPIOLANI BLVD|ALA MOANA|District 1
06/02/2023   21:07:17  PM|UEMV|45XX  KAHALA AVE|KAHALA|District 7
06/02/2023   20:47:30  PM|MISC PUB|12XX  S KING ST|HONOLULU|District 1
06/02/2023   20:10:50  PM|MVC|10XX  KAM HWY|PEARL CITY|District 3
06/02/2023   17:20:16  PM|MISC PUB|CORAL SEA RD / INDEPENDENCE ST|KALAELOA|District 8
06/02/2023   12:59:22  PM|AGGRAVATED ASSAULT|8509XX  IMIPONO ST|WAIANAE|District 8
06/02/2023   10:22:52  AM|MISC SERVICE CALL|9102XX  KUHELA ST|KAPOLEI|District 8
