02/21/2025   05:43:14  AM|MVC|1XX  H1E FWY|PEARL CITY|District 3
02/21/2025   05:40:30  AM|TRAFFIC COMPLAINT|N SCHOOL ST / MCGREW LN|NUUANU|District 5
02/21/2025   05:38:10  AM|NUISANCE COMPLAINT|25XX  ROSE ST|KALIHI|District 5
02/21/2025   05:22:44  AM|TRAFFIC COMPLAINT|LIKELIKE HWY / NALANIEHA ST|KALIHI|District 5
02/21/2025   04:15:10  AM|ORDER VIOLATION|8605XX  PAHEEHEE RD|WAIANAE|District 8
02/20/2025   14:30:51  PM|MISC PUB|15XX  KAPIOLANI BLVD|ALA MOANA|District 1
02/20/2025   14:18:57  PM|MISC PUB|8506XX  FARRINGTON HWY|WAIANAE|District 8
02/20/2025   13:35:43  PM|THEFT|16XX  KANUNU ST|HONOLULU|District 1
02/20/2025   13:18:18  PM|FRAUD|17XX  10TH AVE|KAIMUKI|District 7
