06/01/2023   04:28:10  AM|ALARM CALL|9400XX  FARRINGTON HWY|WAIPAHU|District 3
06/01/2023   04:27:20  AM|STALLED/HAZARD VEH|PALI HWY / WAOKANAKA ST|NUUANU|District 5
06/01/2023   04:24:14  AM|ATTENDED DEATH|6XX  IWILEI RD|KALIHI|District 5
06/01/2023   04:11:43  AM|UEMV|9110XX  NOONOO ST|EWA BEACH|District 8
06/01/2023   04:04:34  AM|MISC SERVICE CALL|5400XX  KUKUNA RD|HAUULA|District 4
06/01/2023   03:53:30  AM|FOLLOW UP|9102XX  KUHELA ST|KAPOLEI|District 8
06/01/2023   03:40:00  AM|MISC PUB|9106XX  POHAKUPUNA RD|EWA BEACH|District 8
06/01/2023   03:15:54  AM|VEH TOWED|4705XX  KAM HWY|KANEOHE|District 4
05/31/2023   23:39:40  PM|SIMPLE ASSAULT|8XX  CALIFORNIA AVE|WAHIAWA|District 2
