07/09/2023   09:23:07  AM|VEH TOWED|WAIHONA ST / KAM HWY|PEARL CITY|District 3
07/09/2023   09:22:46  AM|BURGLARY|24XX  KALAKAUA AVE|WAIKIKI|District 6
07/09/2023   09:21:32  AM|MISC SERVICE CALL|9118XX  CORAL SEA RD|KALAELOA|District 8
07/09/2023   09:12:46  AM|THEFT|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
07/09/2023   09:07:58  AM|SUSP CIRCUMSTANCE|9102XX  NIUHIWA PL|EWA BEACH|District 8
07/09/2023   08:29:26  AM|NUISANCE COMPLAINT|8902XX  FARRINGTON HWY|NANAKULI|District 8
07/09/2023   07:19:39  AM|UEMV|41XX  KEANU ST|WAIALAE|District 7
07/09/2023   06:40:19  AM|TRESPASS|X SAND ISLAND ACC RD|KALIHI|District 5
07/09/2023   05:51:22  AM|FAMILY OFF/NEG|22XX  DORIS MILLER LOOP|MILLER PK|District 5
