02/12/2023   08:26:16  AM|MVC|5XX  KUKUIULA LOOP|HAWAII KAI|District 7
02/12/2023   08:24:36  AM|OVERDUE RENTAL CXL|9101XX  KALAELOA BLVD|KAPOLEI|District 8
02/12/2023   08:22:16  AM|THREATENING|8701XX  AUYONG HMSTD RD|NANAKULI|District 8
02/12/2023   08:17:54  AM|ARGUMENT FAMILY|8702XX  MIKANA ST|NANAKULI|District 8
02/12/2023   08:17:52  AM|FAMILY OFF/NEG|20XX  KALAWAHINE PL|MAKIKI|District 1
02/12/2023   08:16:29  AM|UEMV|4701XX  PULAMA PL|KAHALUU|District 4
02/12/2023   08:09:28  AM|PROPERTY DAMAGE|1XX  LAKEVIEW CIR|WAHIAWA|District 2
02/12/2023   08:07:12  AM|MISC PUB|5906XX  KE IKI RD|SUNSET|District 2
02/12/2023   04:20:35  AM|FAMILY OFF/NEG|8700XX  FARRINGTON HWY|MAILI|District 8
