10/07/2024   00:43:34  AM|THEFT|9402XX  FARRINGTON HWY|WAIPAHU|District 3
10/07/2024   00:29:13  AM|NUISANCE COMPLAINT|4509XX  KEAAHALA PL|KANEOHE|District 4
10/07/2024   00:15:12  AM|TRESPASS WARN|9110XX  UALAKUPU ST|KAPOLEI|District 8
10/06/2024   23:46:31  PM|TRESPASS|8XX  S BERETANIA ST|HONOLULU|District 1
10/06/2024   23:38:43  PM|UNATTENDED DEATH|ROYAL HAWAIIAN AVE / MANUKAI ST|WAIKIKI|District 6
10/06/2024   23:31:31  PM|DRUGS/NARCOTICS|8506XX  FARRINGTON HWY|WAIANAE|District 8
10/06/2024   23:11:46  PM|VEH TOWED|ALA MOANA BLVD / ENA RD|WAIKIKI|District 6
10/06/2024   22:29:22  PM|FOLLOW UP|8710XX  KAHIWELOLA ST|MAILI|District 8
10/06/2024   22:18:56  PM|UNATTENDED DEATH|4502XX  KOA KAHIKO ST|KANEOHE|District 4
10/06/2024   21:17:38  PM|UNATTENDED DEATH|11XX  WAIMANU ST|HONOLULU|District 1
