09/01/2023   22:58:53  PM|ALARM CALL|7XX  UMI ST|KALIHI|District 5
09/01/2023   22:53:06  PM|SUSP CIRCUMSTANCE|13XX  ALA ALII ST|AIEA|District 3
09/01/2023   22:51:20  PM|MVC|10XX  AUAHI ST|HONOLULU|District 1
09/01/2023   22:47:36  PM|SUSP VEH|9901XX  POOHOLUA DR|AIEA|District 3
09/01/2023   22:43:34  PM|AUTO THEFT RECOVERY|KILINOE ST / KAAHELE ST|AIEA|District 3
09/01/2023   22:40:43  PM|NUISANCE COMPLAINT|4XX  KAULUWELA PL|DOWNTOWN|District 1
09/01/2023   22:25:46  PM|PROPERTY DAMAGE|5XX  CORAL ST|HONOLULU|District 1
09/01/2023   22:16:35  PM|HARASSMENT|20XX  KALIA RD|WAIKIKI|District 6
09/01/2023   22:07:54  PM|FIRE CALL|XX  S KUKUI ST|DOWNTOWN|District 1
09/01/2023   21:58:42  PM|FOLLOW UP|13XX  PUNCHBOWL ST|HONOLULU|District 1
09/01/2023   21:23:38  PM|UNATTENDED DEATH|26XX  S KING ST|MCCULLY|District 7
09/01/2023   20:57:45  PM|VEH TOWED|12XX  ALA MOANA BLVD|ALA MOANA|District 1
09/01/2023   20:54:38  PM|WARRANT ARREST|25XX  CARTWRIGHT RD|WAIKIKI|District 6
09/01/2023   20:52:26  PM|TRESPASS WARN|22XX  KALAKAUA AVE|WAIKIKI|District 6
09/01/2023   19:43:38  PM|THREATENING|15XX  KALAKAUA AVE|HONOLULU|District 1
09/01/2023   19:40:42  PM|MVC VEH TOWED|8501XX  FARRINGTON HWY|MAKAHA|District 8
