08/09/2023   00:26:25  AM|VEH TOWED|7XX  UNIVERSITY AVE|MCCULLY|District 7
08/09/2023   00:25:17  AM|THEFT|22XX  KALAKAUA AVE|WAIKIKI|District 6
08/09/2023   00:22:50  AM|ARGUMENT|11XX  CLIO ST|MAKIKI|District 1
08/09/2023   00:15:38  AM|MISC PUB|18XX  AKONE PL|KALIHI|District 5
08/09/2023   00:03:54  AM|MISC PUB|WARD AVE / ALA MOANA BLVD|KAKAAKO|District 1
08/08/2023   23:58:28  PM|RUNAWAY|13XX  PUNCHBOWL ST|HONOLULU|District 1
08/08/2023   23:55:20  PM|MVC VEH TOWED|AUWAIOLIMU ST / KAPAHU ST|PUNCHBOWL|District 1
08/08/2023   23:44:48  PM|AGGRAVATED ASSAULT|8XX  KAM HWY|PEARL CITY|District 3
08/08/2023   19:36:56  PM|THREATENING|8XX  ALA LILIKOI ST|SALT LAKE|District 5
