06/29/2024   05:09:02  AM|SUSP PERSON|9401XX  HULA ST|WAIPAHU|District 3
06/29/2024   04:57:04  AM|UEMV|KONA ST / MAHUKONA ST|ALA MOANA|District 1
06/29/2024   04:32:23  AM|FOLLOW UP|X JARRETT WHITE RD|TRIPLER|District 5
06/29/2024   04:30:52  AM|MISC SERVICE CALL|13XX  PALI HWY|DOWNTOWN|District 1
06/29/2024   04:26:25  AM|AUTO THEFT|FARRINGTON HWY / LUALUALEI NAVAL RD|NANAKULI|District 8
06/29/2024   04:12:25  AM|ROBBERY|S BERETANIA ST / PIIKOI ST|HONOLULU|District 1
06/29/2024   04:09:07  AM|ROBBERY|9154XX  KAPOLEI PKWY|KAPOLEI|District 8
06/29/2024   03:56:22  AM|MVC VEH TOWED|KANEOHE BAY DR / NOHEA PL|KANEOHE|District 4
06/29/2024   03:20:40  AM|FAMILY OFF/NEG|12XX  PALAMEA LN|KALIHI|District 5
