10/28/2023   23:43:57  PM|FAMILY OFF/NEG|KAIULANI AVE / KUHIO AVE|WAIKIKI|District 6
10/28/2023   23:41:52  PM|SUSP PERSON|KAM HWY / KAAAWA PL|KAAAWA|District 4
10/28/2023   23:33:18  PM|MISSING PERSON|9901XX  KOHOMUA ST|AIEA|District 3
10/28/2023   23:33:17  PM|DROPPED CALL|8502XX  ALA HEMA ST|WAIANAE|District 8
10/28/2023   23:30:18  PM|PROPERTY DAMAGE|ALA POHA PL / ALA NAPUNANI|SALT LAKE|District 5
10/28/2023   23:24:51  PM|SUSP CIRCUMSTANCE|11XX  ALA ALOALO|SALT LAKE|District 5
10/28/2023   23:14:17  PM|AUTO THEFT|9106XX  FARRINGTON HWY|KAPOLEI|District 8
10/28/2023   21:21:43  PM|TRESPASS|9810XX  MOANALUA RD|AIEA|District 3
10/28/2023   20:27:25  PM|MISC PUB|KUALAKAI PKWY / KEAHUMOA PKWY|EWA BEACH|District 8
