02/05/2023   06:22:57  AM|UEMV|XX  NAWILIWILI ST|HAWAII KAI|District 7
02/05/2023   06:22:10  AM|MISC SERVICE CALL|8703XX  KAUKAI RD|NANAKULI|District 8
02/05/2023   06:21:13  AM|WARRANT ARREST|22XX  KUHIO AVE|WAIKIKI|District 6
02/05/2023   06:11:02  AM|MISC PUB|6100XX  KAM HWY|HALEIWA|District 2
02/05/2023   06:07:50  AM|AUTO THEFT|7XX  AHUA ST|MAPUNAPUNA|District 5
02/05/2023   05:21:38  AM|FAMILY OFF/NEG|9203XX  LAALOA ST|KAPOLEI|District 8
02/05/2023   04:58:17  AM|THEFT|16XX  NUUANU AVE|NUUANU|District 5
02/05/2023   01:54:12  AM|DISORDERLY CONDUCT|13XX  DILLINGHAM BLVD|KALIHI|District 5
02/04/2023   23:08:07  PM|TRESPASS WARN|9121XX  FORT WEAVER RD|EWA BEACH|District 8
