07/23/2023   06:25:57  AM|MISC PUB|4XX  HOBRON LN|WAIKIKI|District 6
07/23/2023   06:23:40  AM|PARKING VIOLATION|10XX  SPENCER ST|MAKIKI|District 1
07/23/2023   06:03:50  AM|PARKING VIOLATION|9403XX  KAHUANANI ST|WAIPAHU|District 3
07/23/2023   05:31:04  AM|UNATTENDED DEATH|6107XX  PAPAILOA RD|HALEIWA|District 2
07/23/2023   05:00:56  AM|UNATTENDED DEATH|XX  KILANI AVE|WAHIAWA|District 2
07/23/2023   04:49:33  AM|AGGRAVATED ASSAULT|YOUNG ST / KEEAUMOKU ST|HONOLULU|District 1
07/23/2023   03:56:58  AM|DISORDERLY CONDUCT|KONA ST / PIIKOI ST|ALA MOANA|District 1
07/23/2023   03:05:01  AM|UNATTENDED DEATH|KAM HWY / IWIA PL|SUNSET|District 2
07/23/2023   02:47:28  AM|DUI|ALA KAPUNA / MOANALUALANI PL|MOANALUA V|District 5
