06/07/2023   02:13:41  AM|ARGUMENT|19XX  DATE ST|MCCULLY|District 7
06/07/2023   02:12:36  AM|TRESPASS|5403XX  KAM HWY|HAUULA|District 4
06/07/2023   02:12:20  AM|UEMV|HALEKAUWILA ST / WARD AVE|HONOLULU|District 1
06/07/2023   02:09:08  AM|STALLED/HAZARD VEH|X H1E FWY|KAPOLEI|District 8
06/07/2023   02:03:10  AM|TRAFFIC CONTROL DEVICE|9117XX  FORT WEAVER RD|EWA BEACH|District 8
06/07/2023   01:08:47  AM|AUTO THEFT RECOVERY|CHAPLAIN LN / BETHEL ST|DOWNTOWN|District 1
06/07/2023   01:00:44  AM|VEH TOWED|18XX  EAMES ST|WAHIAWA|District 2
06/06/2023   23:45:04  PM|TRAFFIC ARREST/CITATION|KOA KAHIKO ST / KENELA ST|KANEOHE|District 4
06/06/2023   21:15:19  PM|MISC PUB|X MOKAPU ONTO H3W|KANEOHE|District 4
